test_acc,grammar,test_lwk,sentence,lexical,dev_acc,content,test_prs,fuse,test_qwk,dev_qwk,dev_prs,dev_lwk,structure
0.21503496503496503,gbdt,0.4731710566857923,gbdt,gbdt,0.2119089316987741,gbdt,0.7008197801567407,lr,0.6829513907789451,0.7125000534101373,0.7278499409782767,0.4765134608395776,gbdt
0.21853146853146854,gbdt,0.4808575371630991,gbdt,gbdt,0.2224168126094571,svc,0.7122104529752188,lr,0.6951543892269991,0.7098457927904106,0.7231325659961699,0.48084908899251777,gbdt
0.17132867132867133,gbdt,0.4019131290174862,gbdt,gbdt,0.1978984238178634,rf,0.6356613991474823,lr,0.6169004348542917,0.6342906587621631,0.653363827390668,0.41308282636823324,gbdt
0.21153846153846154,gbdt,0.48178708956150884,gbdt,gbdt,0.22066549912434325,lr,0.7122331528860831,lr,0.6965309434469356,0.7118268528538545,0.7252360086305868,0.4823683644254476,gbdt
0.20454545454545456,gbdt,0.46252760703547013,gbdt,gbdt,0.19089316987740806,gbdt,0.6959959516898759,lr,0.6798739695731896,0.697833460089418,0.7143300172559447,0.45362939353819554,svc
0.19755244755244755,gbdt,0.47069915050276034,gbdt,gbdt,0.22066549912434325,svc,0.7064379520884971,lr,0.6901943406648303,0.6975740732788149,0.7108395609279903,0.46840652572488606,svc
0.18356643356643357,gbdt,0.41078544560723995,gbdt,gbdt,0.1733800350262697,rf,0.6419891469144182,lr,0.6188850226740217,0.6492636884203895,0.6697323813398315,0.4069405944068213,svc
0.19405594405594406,gbdt,0.47402474088042357,gbdt,gbdt,0.21015761821366025,lr,0.7074857181967098,lr,0.6906406841704662,0.7028768010071759,0.7164996852053915,0.4669163198939379,svc
0.21328671328671328,gbdt,0.4628545595367499,gbdt,gbdt,0.21541155866900175,gbdt,0.6864840528619346,lr,0.6708281061209125,0.6758315172810884,0.6842037980039057,0.45614313585924027,rf
0.1958041958041958,gbdt,0.4487360071169101,gbdt,gbdt,0.19964973730297722,svc,0.6730482192557427,lr,0.6615756932750215,0.708859126306649,0.7172571133047949,0.477730484306085,rf
0.20104895104895104,gbdt,0.4592724013187325,gbdt,gbdt,0.19964973730297722,rf,0.6928077938011974,lr,0.6703108616375768,0.6832897775620997,0.6947125544092972,0.4524702523262033,rf
0.1958041958041958,gbdt,0.4588950135530936,gbdt,gbdt,0.2031523642732049,lr,0.6884247517254729,lr,0.6761687701857664,0.6737534254959916,0.6830776036806572,0.4557282615802314,rf
0.21853146853146854,gbdt,0.47700318770981054,gbdt,gbdt,0.2031523642732049,gbdt,0.7052057423518941,lr,0.6853324434108365,0.7048565036577499,0.7219566373049306,0.46321648290084616,lr
0.2097902097902098,gbdt,0.47533179051913665,gbdt,gbdt,0.21541155866900175,svc,0.7086324878253674,lr,0.689594686745203,0.7012024960855945,0.7162810420557377,0.4703094457330932,lr
0.19230769230769232,gbdt,0.40414860326539137,gbdt,gbdt,0.17162872154115585,rf,0.6301345694484971,lr,0.6137322593018796,0.6235558845266036,0.6427606640935296,0.3919899018747114,lr
0.21678321678321677,gbdt,0.4791965042284878,gbdt,gbdt,0.2119089316987741,lr,0.7110090530130828,lr,0.6909902218413886,0.7090105465388321,0.724973913020857,0.47190248397075063,lr
0.1958041958041958,gbdt,0.46304895403919266,svc,gbdt,0.20490367775831875,gbdt,0.6984169728325595,lr,0.6795756374997111,0.7038387477534621,0.72032745334172,0.467347965241242,gbdt
0.1958041958041958,gbdt,0.4670164992850423,svc,gbdt,0.2224168126094571,svc,0.7009665259579537,lr,0.6827933705911062,0.7025766109139719,0.718710620847062,0.4749704698478391,gbdt
0.1853146853146853,gbdt,0.41986255367936876,svc,gbdt,0.1733800350262697,rf,0.6555966700828672,lr,0.6347067930280048,0.630961140835163,0.6510869078852414,0.3926174851820491,gbdt
0.19230769230769232,gbdt,0.46645183526915823,svc,gbdt,0.22066549912434325,lr,0.7005087710523566,lr,0.6829787245275887,0.7036361549953891,0.7194613765469484,0.4764125369793474,gbdt
0.19055944055944055,gbdt,0.46673892830684005,svc,gbdt,0.19439579684763572,gbdt,0.7024499646222613,lr,0.68613218054246,0.702477203299132,0.7175322474269432,0.46177983999388406,svc
0.19405594405594406,gbdt,0.47572557834753104,svc,gbdt,0.21015761821366025,svc,0.708986672232247,lr,0.6928727577589482,0.6946971170777295,0.7098430430200153,0.46093500522502406,svc
0.18356643356643357,gbdt,0.39882266497777796,svc,gbdt,0.19614711033274956,rf,0.6395084861066421,lr,0.6167356614188924,0.6174606873903566,0.6349993256301995,0.3874164145010741,svc
0.19755244755244755,gbdt,0.4785278107450456,svc,gbdt,0.2084063047285464,lr,0.7088774080588129,lr,0.6932336159509216,0.6940482213598367,0.7090395029244981,0.46012108632929427,svc
0.20804195804195805,gbdt,0.4580610048898822,svc,gbdt,0.2136602451838879,gbdt,0.6834864845189044,lr,0.6701132421314295,0.686831982594656,0.6983452395024092,0.4544961187891524,rf
0.19755244755244755,gbdt,0.4623953026508938,svc,gbdt,0.21541155866900175,svc,0.6972598463633082,lr,0.6800189707530742,0.6864463657606285,0.6992880208574138,0.46098640908297184,rf
0.20279720279720279,gbdt,0.4413393890226225,svc,gbdt,0.22591943957968477,rf,0.6697303012523445,lr,0.6503736817028258,0.6906007615172591,0.7026000979430751,0.4652294806337727,rf
0.21678321678321677,gbdt,0.4598154025756084,svc,gbdt,0.21891418563922943,lr,0.6815816474160185,lr,0.6658061259028507,0.6940536808964375,0.7071077730789036,0.4671706717998606,rf
